Temps;Absorbance
0;0.00299553270451725
12;0.0753907724283636
24;0.100354648195207
36;0.132807686692104
48;0.157771562458947
60;0.182735438225791
72;0.210195701569319
84;0.232663189759478
96;0.260123453103006
108;0.282590941293165
120;0.307554817060009
132;0.330022305250168
144;0.349993405863643
156;0.372460894053802
168;0.392431994667277
180;0.414899482857436
192;0.437366971047595
204;0.452345296507701
216;0.469820009544492
228;0.489791110157967
240;0.509762210771441
252;0.529733311384916
264;0.547208024421707
276;0.559689962305129
288;0.582157450495288
300;0.599632163532078
312;0.609617713838816
324;0.627092426875606
336;0.644567139912397
348;0.657049077795818
360;0.674523790832609
372;0.682012953562662
384;0.704480441752821
396;0.714465992059559
408;0.724451542366296
420;0.739429867826402
432;0.74941541813314
444;0.761897356016561
456;0.774379293899983
468;0.786861231783405
480;0.796846782090142
492;0.814321495126933
504;0.826803433010355
516;0.826803433010355
528;0.841781758470461
540;0.854263696353882
552;0.859256471507251
564;0.871738409390673
576;0.886716734850779
588;0.889213122427464
600;0.90419144788757
612;0.90419144788757
624;0.919169773347676
636;0.924162548501044
648;0.939140873961151
660;0.939140873961151
672;0.956615586997941
684;0.956615586997941
696;0.956615586997941
708;0.974090300034732
720;0.976586687611416
732;0.984075850341469
744;0.996557788224891
756;0.996557788224891
768;0.996557788224891
780;1.01652888883837
792;1.01652888883837
804;1.01902527641505
816;1.03899637702852
828;1.04149276460521
840;1.03899637702852
852;1.03899637702852
864;1.06146386521868
876;1.06396025279537
888;1.06146386521868
900;1.06396025279537
912;1.06396025279537
924;1.0914205161389
936;1.08892412856221
948;1.08892412856221
960;1.0914205161389
972;1.0914205161389
984;1.08892412856221
996;1.11638439190574
1008;1.11638439190574
1020;1.11388800432906
1032;1.11388800432906
1044;1.11388800432906
1056;1.11638439190574
1068;1.11638439190574
1080;1.14634104282595
1092;1.14384465524927
1104;1.14384465524927
1116;1.14634104282595
1128;1.14384465524927
1140;1.14384465524927
1152;1.14384465524927
1164;1.15133381797932
1176;1.17380130616948
1188;1.17380130616948
1200;1.17380130616948
1212;1.17380130616948
1224;1.1713049185928
1236;1.17380130616948
1248;1.17380130616948
1260;1.17629769374616
1272;1.17380130616948
1284;1.17380130616948
1296;1.1713049185928
1308;1.20625434466638
1320;1.20625434466638
1332;1.20625434466638
1344;1.20875073224306
1356;1.20875073224306
1368;1.20625434466638
1380;1.20875073224306
1392;1.20625434466638
1404;1.20625434466638
1416;1.20625434466638
1428;1.20625434466638
1440;1.20625434466638
1452;1.20625434466638
1464;1.20625434466638
1476;1.20875073224306
1488;1.20625434466638
1500;1.23121822043322
1512;1.24120377073996
1524;1.24370015831664
1536;1.24120377073996
1548;1.23870738316327
1560;1.24120377073996
1572;1.24120377073996
1584;1.24120377073996
1596;1.24370015831664
1608;1.24370015831664
1620;1.24120377073996
1632;1.24120377073996
1644;1.24120377073996
1656;1.24120377073996
1668;1.24120377073996
1680;1.24370015831664
1692;1.24370015831664
1704;1.24120377073996
1716;1.23870738316327
1728;1.24120377073996
1740;1.24120377073996
1752;1.24120377073996
1764;1.24370015831664
1776;1.23870738316327
1788;1.24120377073996
1800;1.24120377073996
1812;1.24120377073996
1824;1.24370015831664
1836;1.27116042166017
1848;1.28114597196691
1860;1.28114597196691
1872;1.28114597196691
1884;1.27864958439022
1896;1.27864958439022
1908;1.27864958439022
1920;1.27864958439022
1932;1.27864958439022
1944;1.27864958439022
1956;1.28114597196691
1968;1.27864958439022
1980;1.28114597196691
1992;1.27864958439022
2004;1.27864958439022
2016;1.28114597196691
2028;1.27864958439022
2040;1.27864958439022
2052;1.27864958439022
2064;1.27864958439022
2076;1.27864958439022
2088;1.27864958439022
